model,entity_type,family,n_layers,best,best_layer,best_depth,last,drop_best_minus_last,final_step,peak_is_final,max_jump,max_jump_layer,max_jump_depth,layer_90,layer_90_depth
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state,declarative,80,0.949702380952381,37,0.46835443037974683,0.8908820346320345,0.058820346320346495,0.0008658008658007921,0,0.13349567099567106,37,0.46835443037974683,37,0.46835443037974683
meta-llama-Llama-3.1-70B,avg_carbon_oxidation_state question,question,80,0.8535714285714286,79,1.0,0.8535714285714286,0.0,0.005546536796536938,1,0.09795725108225106,37,0.46835443037974683,43,0.5443037974683544
meta-llama-Llama-3.1-70B,boiling_point_c,declarative,80,0.9990079365079365,45,0.569620253164557,0.8478174603174604,0.1511904761904761,-0.05492724867724863,0,0.13356481481481486,30,0.379746835443038,36,0.45569620253164556
meta-llama-Llama-3.1-70B,boiling_point_c question,question,80,0.8097883597883598,79,1.0,0.8097883597883598,0.0,0.01883267195767213,1,0.06264880952380958,10,0.12658227848101267,78,0.9873417721518988
meta-llama-Llama-3.1-70B,functional_group,declarative,80,0.9619196428571428,79,1.0,0.9619196428571428,0.0,0.01285714285714279,1,0.11037202380952382,37,0.46835443037974683,51,0.6455696202531646
meta-llama-Llama-3.1-70B,functional_group question,question,80,0.9252083333333333,76,0.9620253164556962,0.9116517857142857,0.013556547619047565,0.004375000000000018,0,0.1349255952380951,37,0.46835443037974683,46,0.5822784810126582
meta-llama-Llama-3.1-70B,functional_group_structure,declarative,80,0.9588010204081633,79,1.0,0.9588010204081633,0.0,0.016326530612244983,1,0.21730442176870735,37,0.46835443037974683,48,0.6075949367088608
meta-llama-Llama-3.1-70B,functional_group_structure question,question,80,0.8980017006802721,79,1.0,0.8980017006802721,0.0,0.007440476190476164,1,0.19007227891156475,37,0.46835443037974683,46,0.5822784810126582
meta-llama-Llama-3.1-70B,hba,declarative,80,0.978452380952381,57,0.7215189873417721,0.9602678571428571,0.018184523809523845,0.004464285714285587,0,0.07630952380952383,37,0.46835443037974683,41,0.5189873417721519
meta-llama-Llama-3.1-70B,hba question,question,80,0.8130952380952381,79,1.0,0.8130952380952381,0.0,0.016160714285714306,1,0.054657738095238106,10,0.12658227848101267,76,0.9620253164556962
meta-llama-Llama-3.1-70B,hbd,declarative,80,0.9560416666666667,57,0.7215189873417721,0.9162797619047619,0.039761904761904776,-0.005386904761904732,0,0.1422916666666667,37,0.46835443037974683,37,0.46835443037974683
meta-llama-Llama-3.1-70B,hbd question,question,80,0.7998214285714286,79,1.0,0.7998214285714286,0.0,0.01302083333333337,1,0.06203869047619048,10,0.12658227848101267,78,0.9873417721518988
meta-llama-Llama-3.1-70B,molecule,bare,80,0.855384199134199,24,0.3037974683544304,0.8137987012987014,0.0415854978354977,0.013122294372294396,0,0.18551136363636356,1,0.012658227848101266,20,0.25316455696202533
meta-llama-Llama-3.1-70B,molecule_formula_bare,bare,80,0.6723214285714286,72,0.9113924050632911,0.6066964285714286,0.06562500000000004,-0.025000000000000022,0,0.08184523809523814,20,0.25316455696202533,40,0.5063291139240507
meta-llama-Llama-3.1-70B,molecule_name_bare,bare,80,0.7761904761904763,46,0.5822784810126582,0.744345238095238,0.031845238095238315,0.0,0,0.0991071428571429,1,0.012658227848101266,11,0.13924050632911392
meta-llama-Llama-3.1-70B,pka,declarative,80,0.9333333333333333,22,0.27848101265822783,0.8787337662337662,0.05459956709956715,-0.01566558441558441,0,0.0819534632034632,17,0.21518987341772153,21,0.26582278481012656
meta-llama-Llama-3.1-70B,pka question,question,80,0.8534361471861472,79,1.0,0.8534361471861472,0.0,0.021279761904761885,1,0.08900162337662332,37,0.46835443037974683,78,0.9873417721518988
meta-llama-Llama-3.1-70B,pkah,declarative,80,0.9366071428571429,37,0.46835443037974683,0.8565205627705628,0.0800865800865801,-0.044913419913419905,0,0.07041396103896114,17,0.21518987341772153,22,0.27848101265822783
meta-llama-Llama-3.1-70B,pkah question,question,80,0.8101325757575757,79,1.0,0.8101325757575757,0.0,0.02873376623376611,1,0.06006493506493504,10,0.12658227848101267,79,1.0
meta-llama-Llama-3.1-70B,tpsa,declarative,80,0.9804924242424242,37,0.46835443037974683,0.9000541125541126,0.08043831168831161,-0.03368506493506496,0,0.11542207792207781,37,0.46835443037974683,37,0.46835443037974683
meta-llama-Llama-3.1-70B,tpsa question,question,80,0.803125,79,1.0,0.803125,0.0,0.00730519480519487,1,0.06206709956709955,10,0.12658227848101267,76,0.9620253164556962
meta-llama-Llama-3.1-70B,water_solubility,declarative,80,0.9436309523809523,41,0.5189873417721519,0.8365773809523809,0.10705357142857141,-0.027604166666666763,0,0.12252976190476184,10,0.12658227848101267,37,0.46835443037974683
meta-llama-Llama-3.1-70B,water_solubility question,question,80,0.7649255952380953,79,1.0,0.7649255952380953,0.0,0.004657738095238173,1,0.08374999999999999,10,0.12658227848101267,76,0.9620253164556962
