model,entity_type,layer,depth,raw_pairwise_cos,cent_within,cent_between,cent_gap,n_templates,n_points,tsne_verdict,diffvec_cumvar_k1,diffvec_cumvar_k2,diffvec_cumvar_k3,diffvec_cumvar_k5,diffvec_cumvar_k10
meta-llama-Llama-3.1-8B,hbd question,16,0.5161,0.9815497065467579,0.6161809745653156,-0.03535076079777099,0.6515317353630866,10,920,,0.645287811756134,0.7432095408439636,0.80515056848526,0.8904844522476196,0.9516113996505737
meta-llama-Llama-3.1-8B,hbd question,24,0.7742,0.9815947754896832,0.6232711266350459,-0.03523158453727556,0.6585027111723215,10,920,,0.6610237956047058,0.750130832195282,0.8143549561500549,0.8941687941551208,0.953174889087677
meta-llama-Llama-3.1-8B,hbd question,31,1.0,0.978444080531056,0.590672654982068,-0.032744645957031124,0.6234173009390991,10,920,,0.6358768939971924,0.7110611796379089,0.7693217992782593,0.8481589555740356,0.9304474592208862
meta-llama-Llama-3.1-8B,molecule,0,0.0,0.40373627567371,0.6961381593555734,-0.042279108955671295,0.7384172683112448,11,1012,,0.4180597960948944,0.4752672612667084,0.5244574546813965,0.6148543357849121,0.7699238061904907
meta-llama-Llama-3.1-8B,molecule,8,0.2581,0.660209353872594,0.5559917434788587,-0.036604399173776656,0.5925961426526354,11,1012,,0.48925670981407166,0.5707736611366272,0.6350452303886414,0.7142422795295715,0.8237438797950745
meta-llama-Llama-3.1-8B,molecule,16,0.5161,0.7591662597012645,0.6269947006448842,-0.03902543130483336,0.6660201319497175,11,1012,,0.5249544382095337,0.6247003674507141,0.6797626614570618,0.7568861246109009,0.8556604981422424
meta-llama-Llama-3.1-8B,molecule,24,0.7742,0.7871841290637288,0.6670397946839792,-0.03860395245510335,0.7056437471390826,11,1012,,0.5829388499259949,0.6849469542503357,0.7346776127815247,0.7995948791503906,0.8817234039306641
meta-llama-Llama-3.1-8B,molecule,31,1.0,0.8350238700517899,0.617137713296535,-0.035358252149371924,0.6524959654459069,11,1012,,0.5624371767044067,0.6631060838699341,0.7177268862724304,0.790222704410553,0.8739660978317261
meta-llama-Llama-3.1-8B,molecule_formula_bare,0,0.0,0.2955445094355344,0.7618847465665456,-0.043638411318590434,0.8055231578851361,1,92,,0.4774046540260315,0.5308568477630615,0.581182062625885,0.6736109852790833,0.8310118913650513
meta-llama-Llama-3.1-8B,molecule_formula_bare,8,0.2581,0.4150411056713288,0.5226495994026201,-0.03225093204302634,0.5549005314456464,1,92,,0.42074689269065857,0.5221255421638489,0.5939027070999146,0.6862242221832275,0.7903737425804138
meta-llama-Llama-3.1-8B,molecule_formula_bare,16,0.5161,0.48104468929927086,0.6106207909944811,-0.034838615528905506,0.6454594065233866,1,92,,0.5123274326324463,0.5900349020957947,0.6510837078094482,0.7385518550872803,0.8358107209205627
meta-llama-Llama-3.1-8B,molecule_formula_bare,24,0.7742,0.49043531030793824,0.6809987374172922,-0.03611742627868297,0.7171161636959752,1,92,mixed,0.5310017466545105,0.6357961893081665,0.6916688680648804,0.7649484276771545,0.8620327711105347
meta-llama-Llama-3.1-8B,molecule_formula_bare,31,1.0,0.48455325765085816,0.7240192507834811,-0.025011779192862495,0.7490310299763435,1,92,,0.5517171621322632,0.6897531747817993,0.740363597869873,0.8049446940422058,0.8904047608375549
meta-llama-Llama-3.1-8B,molecule_name_bare,0,0.0,0.32043240223982317,0.4915915743545874,-0.022206945868687964,0.5137985202232753,1,92,,0.2893372178077698,0.47508999705314636,0.5312736630439758,0.6328960061073303,0.8124166131019592
meta-llama-Llama-3.1-8B,molecule_name_bare,8,0.2581,0.6216281933030955,0.20712351980374047,-0.021625435038678212,0.2287489548424187,1,92,,0.42060214281082153,0.5652629137039185,0.631665825843811,0.7298163175582886,0.836714506149292
meta-llama-Llama-3.1-8B,molecule_name_bare,16,0.5161,0.7390174920827762,0.2784990576471676,-0.02337178228639704,0.3018708399335646,1,92,,0.49094945192337036,0.6130239367485046,0.6757215261459351,0.7610777020454407,0.8759534955024719
meta-llama-Llama-3.1-8B,molecule_name_bare,24,0.7742,0.7712933813563044,0.17110368028985695,-0.01829326653679925,0.1893969468266562,1,92,,0.5258646011352539,0.6709456443786621,0.7390241622924805,0.8174877762794495,0.9124338626861572
meta-llama-Llama-3.1-8B,molecule_name_bare,31,1.0,0.8099637927333533,0.15035694204893763,-0.01746315409067318,0.1678200961396108,1,92,,0.5812546610832214,0.718386173248291,0.7701496481895447,0.8408304452896118,0.9249839186668396
meta-llama-Llama-3.1-8B,pka,0,0.0,0.9915826159462198,0.7386798683488578,-0.004384988290315991,0.7430648566391738,11,1012,mixed,0.621102511882782,0.732988715171814,0.8323635458946228,0.9117648005485535,0.9640344381332397
meta-llama-Llama-3.1-8B,pka,8,0.2581,0.9844199981321516,0.6255971495503265,-0.03890647790672784,0.6645036274570544,11,1012,,0.5378644466400146,0.6354448199272156,0.6972841620445251,0.7833021283149719,0.8820208311080933
meta-llama-Llama-3.1-8B,pka,16,0.5161,0.9283639469388223,0.7563027964349378,-0.04338276412287959,0.7996855605578174,11,1012,clustered,0.4775775372982025,0.5923524498939514,0.6697704792022705,0.7644209861755371,0.8962237238883972
meta-llama-Llama-3.1-8B,pka,24,0.7742,0.7192937835687891,0.5956656263585676,-0.03783329834593999,0.6334989247045075,11,1012,clustered,0.43639397621154785,0.5263916254043579,0.601830780506134,0.7113741636276245,0.8664243817329407
meta-llama-Llama-3.1-8B,pka,31,1.0,0.9451173368789794,0.6454740486254817,-0.039364364255321665,0.6848384128808034,11,1012,inconclusive,0.6957665681838989,0.7717208862304688,0.8211454153060913,0.8678551316261292,0.9334598183631897
meta-llama-Llama-3.1-8B,pka question,0,0.0,0.9672930769896427,0.7184820339867943,0.000534369086264037,0.7179476649005303,11,1012,,0.48678818345069885,0.721484899520874,0.8228406310081482,0.8928219079971313,0.9573284983634949
meta-llama-Llama-3.1-8B,pka question,8,0.2581,0.9760259807793307,0.6268764794395681,-0.035314730265510436,0.6621912097050786,11,1012,,0.4996528625488281,0.6097654700279236,0.6949316263198853,0.791326642036438,0.8932992815971375
meta-llama-Llama-3.1-8B,pka question,16,0.5161,0.9798503873795912,0.6709755585251147,-0.03294982808549523,0.7039253866106099,11,1012,mixed,0.5287295579910278,0.693223237991333,0.7870021462440491,0.8542848825454712,0.9284682273864746
meta-llama-Llama-3.1-8B,pka question,24,0.7742,0.9830655663336969,0.6578863593831397,-0.03073687844644474,0.6886232378295845,11,1012,,0.543129026889801,0.7196584939956665,0.7970945835113525,0.8560347557067871,0.9372076988220215
meta-llama-Llama-3.1-8B,pka question,31,1.0,0.9793934841874793,0.6222576822824123,-0.031152521403591413,0.6534102036860037,11,1012,,0.5021424889564514,0.6278799772262573,0.7050305008888245,0.7777593731880188,0.8935524225234985
meta-llama-Llama-3.1-8B,pkah,0,0.0,0.9918687514465959,0.7318939873785303,-0.0038737249426623365,0.7357677123211926,11,1012,,0.6071142554283142,0.7314636707305908,0.8301211595535278,0.9109531044960022,0.9636051654815674
