model,layer,depth,group,within_score
meta-llama-Llama-3.1-70B,20,0.2532,nitrile,0.7949229180812836
meta-llama-Llama-3.1-70B,20,0.2532,nitro,0.8916719158490499
meta-llama-Llama-3.1-70B,20,0.2532,sulfone,0.8563824693361918
meta-llama-Llama-3.1-70B,20,0.2532,sulfoxide,0.8463941812515259
meta-llama-Llama-3.1-70B,20,0.2532,thioether,0.8223277429739634
meta-llama-Llama-3.1-70B,20,0.2532,thiol,0.8922341366608938
meta-llama-Llama-3.1-70B,40,0.5063,alcohol,0.8851971924304962
meta-llama-Llama-3.1-70B,40,0.5063,aldehyde,0.8502870599428812
meta-llama-Llama-3.1-70B,40,0.5063,alkyl bromide,0.8903317153453827
meta-llama-Llama-3.1-70B,40,0.5063,alkyl chloride,0.8555817306041718
meta-llama-Llama-3.1-70B,40,0.5063,alkyl fluoride,0.8977947135766348
meta-llama-Llama-3.1-70B,40,0.5063,alkyl iodide,0.9015747308731079
meta-llama-Llama-3.1-70B,40,0.5063,amide,0.8821820418039957
meta-llama-Llama-3.1-70B,40,0.5063,amine,0.9117941160996755
meta-llama-Llama-3.1-70B,40,0.5063,carboxylic acid,0.862077921628952
meta-llama-Llama-3.1-70B,40,0.5063,ester,0.7244963546593984
meta-llama-Llama-3.1-70B,40,0.5063,ether,0.7927806675434113
meta-llama-Llama-3.1-70B,40,0.5063,imine,0.9332200686136881
meta-llama-Llama-3.1-70B,40,0.5063,ketone,0.8091202974319458
meta-llama-Llama-3.1-70B,40,0.5063,nitrile,0.9000015060106913
meta-llama-Llama-3.1-70B,40,0.5063,nitro,0.9410504301389059
meta-llama-Llama-3.1-70B,40,0.5063,sulfone,0.9221445421377817
meta-llama-Llama-3.1-70B,40,0.5063,sulfoxide,0.9197642008463541
meta-llama-Llama-3.1-70B,40,0.5063,thioether,0.8756954471270243
meta-llama-Llama-3.1-70B,40,0.5063,thiol,0.9360528091589609
meta-llama-Llama-3.1-70B,60,0.7595,alcohol,0.9060170153776804
meta-llama-Llama-3.1-70B,60,0.7595,aldehyde,0.8507820765177408
meta-llama-Llama-3.1-70B,60,0.7595,alkyl bromide,0.9035391211509705
meta-llama-Llama-3.1-70B,60,0.7595,alkyl chloride,0.8440397183100382
meta-llama-Llama-3.1-70B,60,0.7595,alkyl fluoride,0.9144058624903361
meta-llama-Llama-3.1-70B,60,0.7595,alkyl iodide,0.9146493872006735
meta-llama-Llama-3.1-70B,60,0.7595,amide,0.8968695104122162
meta-llama-Llama-3.1-70B,60,0.7595,amine,0.9256605307261149
meta-llama-Llama-3.1-70B,60,0.7595,carboxylic acid,0.8743003904819489
meta-llama-Llama-3.1-70B,60,0.7595,ester,0.7647706866264343
